"Week","Tract 18 Mean","Week","Tract 27 Mean","Week","Tract 28 Mean","Week","Tract 37 Mean","Week...9","Tract 44.01 Mean","Week...11","Tract 44.02 Mean"
202217,32.1443452380952,202217,30.4821428571429,202217,28.765873015873,202217,31.3571428571429,202217,30.1785714285714,202217,30.6369047619048
202218,23.4166666666667,202218,22.2425595238095,202218,20.4603174603175,202218,22.6686507936508,202218,20.8452380952381,202218,21.9077380952381
202219,21.514880952381,202219,21.1517857142857,202219,18.5376984126984,202219,21.5833333333333,202219,18.7619047619048,202219,19.985119047619
202220,26.0089418777943,202220,24.9404761904762,202220,23.0059523809524,202220,25.2480158730159,202220,23.3690476190476,202220,24.3839285714286
202221,24.8392857142857,202221,23.9151785714286,202221,22.7480158730159,202221,24.3551587301587,202221,23.577380952381,202221,23.9464285714286
202222,22.4985119047619,202222,21.8779761904762,202222,19.8492063492063,202222,21.4265873015873,202222,19.8392857142857,202222,20.8690476190476
202223,20.8943452380952,202223,20.0625,202223,18.4861111111111,202223,19.6269841269841,202223,18.3690476190476,202223,19.014880952381
202224,26.610119047619,202224,26.2380952380952,202224,23.9681908548708,202224,26.3373253493014,202224,24.3233532934132,202224,25.8858858858859
202225,29.1785714285714,202225,28.2068452380952,202225,26.7916666666667,202225,29.0099206349206,202225,27.2142857142857,202225,28.6636904761905
202226,28,202226,26.6264880952381,202226,24.9404761904762,202226,26.6884920634921,202226,25.452380952381,202226,26.0178571428571
202227,19.5639880952381,202227,18.7901785714286,202227,18.2281746031746,202227,19.5575396825397,202227,18.2380952380952,202227,19.5922619047619
202228,27.1339285714286,202228,26.1264880952381,202228,24.5674603174603,202228,26.5257936507937,202228,25.0119047619048,202228,26.0357142857143
202229,31.0491071428571,202229,30.1532738095238,202229,28.4603174603175,202229,31.1924603174603,202229,28.8928571428571,202229,30.639880952381
202230,22.8824404761905,202230,22.0446428571429,202230,20.7579365079365,202230,21.8174603174603,202230,21.2261904761905,202230,21.5059523809524
202231,26.9151785714286,202231,26.1919642857143,202231,24.7876984126984,202231,26.4960317460317,202231,25.7738095238095,202231,26.1785714285714
202232,24.8363095238095,202232,23.8482142857143,202232,22.5059523809524,202232,24.1329365079365,202232,22.8869047619048,202232,23.7291666666667
202233,47.0967261904762,202233,46.8244047619048,202233,45.1607142857143,202233,48.5575396825397,202233,46.0476190476191,202233,48.7916666666667
202234,29.7053571428571,202234,29.0952380952381,202234,27.7003968253968,202234,29.4186507936508,202234,28.6428571428571,202234,29.3095238095238
202235,40.2648809523809,202235,39.8556547619048,202235,37.4821428571429,202235,41.25,202235,38,202235,40.8095238095238
202236,46.6785714285714,202236,46.3913690476191,202236,44.906746031746,202236,47.9960317460317,202236,45.8035714285714,202236,48.1845238095238
202237,40.03125,202237,39.4404761904762,202237,37.0535714285714,202237,41.0059523809524,202237,37.8333333333333,202237,40.5119047619048
202238,27.8630952380952,202238,27.2232142857143,202238,27.2579365079365,202238,29.0453608247423,202238,30.327380952381,202238,29.6940063091483
202239,26.0625,202239,25.5208333333333,202239,24.1607142857143,202239,26.0059523809524,202239,25.4940476190476,202239,26.0119047619048
202240,32.3095238095238,202240,32.5119047619048,202240,31.3492063492063,202240,33.4484126984127,202240,34.3988095238095,202240,33.5505952380952
202241,38.1592261904762,202241,37.2961309523809,202241,36.0357142857143,202241,39.3769841269841,202241,37.3511904761905,202241,39.5684523809524
202242,41.0952380952381,202242,41.1296572280179,202242,39.6587301587302,202242,43.8630952380952,202242,41.6666666666667,202242,44.0446428571429
202243,33.8199404761905,202243,32.3415061295972,202243,32.8769841269841,202243,36.3849206349206,202243,35.5654761904762,202243,36.5535714285714
202244,31.8080357142857,202244,30.9484126984127,202244,31.2519841269841,202244,34.5238095238095,202244,33.0357142857143,202244,34.8095238095238
202245,32.1062874251497,202245,31.4670658682635,202245,33.0718562874251,202245,37.4311377245509,202245,37.4610778443114,202245,38.7035928143713
202246,49.2574404761905,202246,49.1726190476191,202246,52.5099206349206,202246,59.2619047619048,202246,61.5119047619048,202246,62.2053571428571
202247,70.6755952380952,202247,71.2837301587302,202247,80.6706349206349,202247,88.8849206349206,202247,96.9345238095238,202247,95.8065476190476
202248,39.0505952380952,202248,37.4920634920635,202248,40.125,202248,45.5376984126984,202248,45.3571428571429,202248,47.2797619047619
202249,37.0863095238095,202249,35.7936507936508,202249,37.8948412698413,202249,41.765873015873,202249,42.5535714285714,202249,43.2767857142857
202250,59.1845238095238,202250,59.8551587301587,202250,65.8710317460317,202250,71.2857142857143,202250,78.7083333333333,202250,75.8452380952381
202251,95.4196428571429,202251,95.9265873015873,202251,99.9722222222222,202251,111.464285714286,202251,108.02380952381,202251,117.035714285714
202252,46.0972222222222,202252,44.4490740740741,202252,44.5949074074074,202252,52.2662037037037,202252,47.0902777777778,202252,54.2743055555556
202300,11.1354166666667,202300,11.0277777777778,202300,8.38888888888889,202300,11.0416666666667,202300,7.625,202300,9.9375
202301,22.0267857142857,202301,20.6170634920635,202301,17.7519841269841,202301,23.6706349206349,202301,15.1369047619048,202301,23.7142857142857
202302,17.4776785714286,202302,16.4900793650794,202302,15.1825396825397,202302,17.9900793650794,202302,15.2380952380952,202302,16.9732142857143
202303,31.5744047619048,202303,30.5595238095238,202303,31.2757936507937,202303,38.6726190476191,202303,33.9345238095238,202303,41.0297619047619
202304,55.8020833333333,202304,55.1884920634921,202304,55.9007936507937,202304,67.4503968253968,202304,56.3392857142857,202304,72.2976190476191
202305,46.6785714285714,202305,46.1349206349206,202305,43.4107142857143,202305,53.0912698412698,202305,41.75,202305,55.4702380952381
202306,46.2797619047619,202306,46.5853174603175,202306,44.1884920634921,202306,58.4980158730159,202306,38.8392857142857,202306,62.5654761904762
202307,37.0416666666667,202307,36.6309523809524,202307,32.3497536945813,202307,41.0541871921182,202307,32.5535714285714,202307,42.327731092437
202308,29.1666666666667,202308,28.1904761904762,202308,26.8065476190476,202308,32.1011904761905,202308,24.5714285714286,202308,33.5297619047619
202309,22.0446428571429,202309,20.7837301587302,202309,17.7263427109974,202309,22.3964194373402,202309,15.3869047619048,202309,20.9461883408072
202310,20.7931547619048,202310,19.8333333333333,202310,15.8630952380952,202310,23.1577380952381,202310,12.0892857142857,202310,23.5714285714286
202311,26.2366071428571,202311,25.6369047619048,202311,23.6488095238095,202311,29.8988095238095,202311,23.5595238095238,202311,31.9345238095238
202312,19.09375,202312,18.1626984126984,202312,16.7619047619048,202312,20.3214285714286,202312,15.4107142857143,202312,20.3035714285714
202313,22.1502976190476,202313,20.7202380952381,202313,20.485119047619,202313,24.110119047619,202313,18.9404761904762,202313,24.8511904761905
202314,22.5267857142857,202314,21.7480158730159,202314,21.0952380952381,202314,25.0297619047619,202314,19.8928571428571,202314,26.6785714285714
202315,22.577380952381,202315,21.8611111111111,202315,19.7470238095238,202315,24.8452380952381,202315,18.1428571428571,202315,25.1428571428571
202316,22.7083333333333,202316,21.7361111111111,202316,19.3125,202316,24.5833333333333,202316,17.0833333333333,202316,24.6666666666667
